name,href,uri,popularity,album_name,release_date,album_uri,artist_name,artist_uri,genres,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
Codebreaker,https://api.spotify.com/v1/tracks/6LnAK6xGBSZFLm3FdHc561,spotify:track:6LnAK6xGBSZFLm3FdHc561,19,The Cinematic Future,2020-03-06,spotify:album:55kHBMsnXobP9eSB1UMU0p,Aviators,spotify:artist:3xNCp8cktZ1IGwRregR2yO,"['fnaf', 'otacore']",0.596,0.823,0.0409,0.0688,2.55e-06,0.107,0.509
Snow On The Beach (feat. Lana Del Rey),https://api.spotify.com/v1/tracks/1wtOxkiel43cVs0Yux5Q4h,spotify:track:1wtOxkiel43cVs0Yux5Q4h,87,Midnights,2022-10-21,spotify:album:151w1FgRZfnKZA9FEcg9Z3,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,['pop'],0.663,0.319,0.0375,0.69,0.000993,0.117,0.193
Titans of Our Time,https://api.spotify.com/v1/tracks/2rJiz50qrf8fgw0BJiSQZT,spotify:track:2rJiz50qrf8fgw0BJiSQZT,16,Condition Red,2002-06-03,spotify:album:3TA7lAQ2fdePgJ5Y41HNrP,Iron Savior,spotify:artist:6COmyouHXwCeIGS1IFd1PA,"['german metal', 'german power metal', 'melodic metal', 'metal', 'neo classical metal', 'neo-trad metal', 'power metal', 'symphonic power metal']",0.357,0.994,0.294,0.000903,2.03e-05,0.214,0.0794
Empire Of Steel,https://api.spotify.com/v1/tracks/4JKW3b6JpBi6PBWirDE4W9,spotify:track:4JKW3b6JpBi6PBWirDE4W9,46,After Dark (Deluxe Edition),2020-04-29,spotify:album:7dszm1dxmXo1Tgw97QOPeA,Essenger,spotify:artist:3vc0JWD1Nj1VLrgJ1x3cjE,[],0.677,0.722,0.0253,0.00238,0.000418,0.0903,0.496
Salvation Code,https://api.spotify.com/v1/tracks/7j1YgiA41PJUSlv0YMYU0b,spotify:track:7j1YgiA41PJUSlv0YMYU0b,34,Scandroid (Deluxe Edition),2016-11-11,spotify:album:4ooMCtNgb73ygLxEud8ihF,Scandroid,spotify:artist:27qG899eLldfpYtPr3S3NJ,"['cyberpunk', 'darksynth', 'synthwave']",0.539,0.935,0.039,2.83e-05,0.119,0.04,0.69
The New Black Gold,https://api.spotify.com/v1/tracks/0tkwzplH8wFFt8yGW3iz3R,spotify:track:0tkwzplH8wFFt8yGW3iz3R,26,Level 1,2011-12-20,spotify:album:0A8reLp5kVDpQs3rr7uhVF,Miracle Of Sound,spotify:artist:4FmJD0mpgQ70SNt2EKK8tq,['irish metal'],0.615,0.854,0.0457,0.0373,0.000561,0.104,0.234
Happier Than Ever,https://api.spotify.com/v1/tracks/4RVwu0g32PAqgUiJoXsdF8,spotify:track:4RVwu0g32PAqgUiJoXsdF8,88,Happier Than Ever,2021-07-30,spotify:album:0JGOiO34nwfUdDrD612dOp,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'electropop', 'pop']",0.332,0.225,0.0348,0.767,0.00349,0.128,0.297
golden hour,https://api.spotify.com/v1/tracks/6GD1eomgaGT1Epto6Q5eAo,spotify:track:6GD1eomgaGT1Epto6Q5eAo,84,golden hour,2022-07-15,spotify:album:0NoJBJgQc3fM2gesNXp7dS,JVKE,spotify:artist:164Uj4eKjl6zTBKfJLFKKK,['modern indie pop'],0.511,0.594,0.0316,0.651,0.177,0.249,0.143
Turning Page,https://api.spotify.com/v1/tracks/2kfGoV9a5dbSKCNmUWH2ZF,spotify:track:2kfGoV9a5dbSKCNmUWH2ZF,71,Turning Page,2012-06-18,spotify:album:7lh3v8GsuH6TKFQcTimkji,Sleeping At Last,spotify:artist:0MeLMJJcouYXCymQSHPn8g,"['ambient worship', 'chamber pop', 'pop']",0.307,0.371,0.0288,0.923,0.0253,0.11,0.189
